payload_size,query,time
10,Query 1,0.008804000000000001
10,Query 2,1.404578
10,Query 3,0.8433509999999999
10,Query 4,0.064837
10,Query 5,1.428012
10,Query 6,2.9247989999999997
10,Query 7,2.463787
25,Query 1,0.008134
25,Query 2,1.435974
25,Query 3,0.8669359999999999
25,Query 4,0.067395
25,Query 5,1.44026
25,Query 6,2.978159
25,Query 7,2.429341
50,Query 1,0.005851
50,Query 2,0.695423
50,Query 3,0.589426
50,Query 4,0.051689
50,Query 5,0.683887
50,Query 6,1.441662
50,Query 7,1.325091
75,Query 1,0.017499
75,Query 2,3.338095
75,Query 3,0.496487
75,Query 4,0.20783
75,Query 5,3.391979
75,Query 6,6.697289
75,Query 7,5.4507319999999995
100,Query 1,0.011722
100,Query 2,2.271061
100,Query 3,1.648434
100,Query 4,0.143338
100,Query 5,2.25446
100,Query 6,4.833178
100,Query 7,3.74513
150,Query 1,0.005960999999999999
150,Query 2,1.276975
150,Query 3,0.970195
150,Query 4,0.098466
150,Query 5,1.270011
150,Query 6,2.62005
150,Query 7,2.22086
200,Query 1,0.021345999999999997
200,Query 2,4.238848
200,Query 3,2.221417
200,Query 4,0.267199
200,Query 5,4.309564
200,Query 6,8.720831
200,Query 7,6.888831
